,epochs,num_train_samples,num_test_samples,base_train_losses,base_test_losses,train_losses,test_losses,centered_train_losses,centered_test_losses
68,69,1650,1650,0.024905186,0.01840137,0.19531035,0.196754,0.17040516,0.17835262
69,70,1650,1650,0.024772305,0.01776584,0.18753359,0.19033451,0.16276127,0.17256868
70,71,1650,1650,0.025398733,0.017587947,0.19326968,0.18602845,0.16787095,0.1684405
71,72,1650,1650,0.023084827,0.019169427,0.18440285,0.19534905,0.16131802,0.17617963
72,73,1650,1650,0.022487871,0.018150525,0.18370235,0.19122897,0.16121449,0.17307845
73,74,1650,1650,0.022707883,0.017688442,0.18114743,0.18890536,0.15843953,0.17121692
74,75,1650,1650,0.022758778,0.018420216,0.18732901,0.19147834,0.16457023,0.17305812
75,76,1650,1650,0.022864442,0.018209046,0.18389155,0.19170631,0.16102712,0.17349727
76,77,1650,1650,0.024848908,0.01822232,0.18641537,0.18158603,0.16156647,0.1633637
77,78,1650,1650,0.022680672,0.01839689,0.1826491,0.1920986,0.15996844,0.1737017
78,79,1650,1650,0.023493735,0.01756851,0.18206313,0.18605511,0.1585694,0.1684866
79,80,1650,1650,0.023412533,0.017435018,0.18505736,0.18473776,0.16164482,0.16730274
80,81,1650,1650,0.021761823,0.018150909,0.17954683,0.18832633,0.15778501,0.17017542
81,82,1650,1650,0.021808293,0.017078603,0.17456144,0.18866049,0.15275314,0.17158188
82,83,1650,1650,0.022358624,0.016885318,0.17594904,0.1862443,0.15359041,0.16935898
83,84,1650,1650,0.02123612,0.01758974,0.17702733,0.18664142,0.15579122,0.16905169
84,85,1650,1650,0.02235168,0.018053895,0.17962754,0.18217887,0.15727586,0.16412497
85,86,1650,1650,0.024355417,0.017662007,0.18262039,0.18035296,0.15826496,0.16269095
86,87,1650,1650,0.023244588,0.017427599,0.17962821,0.18261431,0.15638362,0.1651867
87,88,1650,1650,0.023395242,0.017628718,0.17640585,0.18469813,0.15301059,0.16706942
88,89,1650,1650,0.024573784,0.018859709,0.17767575,0.18529585,0.15310197,0.16643614
89,90,1650,1650,0.024576066,0.018005721,0.17462303,0.1776842,0.15004697,0.15967849
90,91,1650,1650,0.022982111,0.01824892,0.17444554,0.18016255,0.15146343,0.16191362
91,92,1650,1650,0.023003587,0.018417682,0.18026286,0.18418403,0.15725929,0.16576634
92,93,1650,1650,0.021789843,0.017032176,0.17061806,0.17869556,0.14882821,0.16166338
93,94,1650,1650,0.024260499,0.018716386,0.17168859,0.17887387,0.14742808,0.16015749
94,95,1650,1650,0.024616074,0.017430708,0.17579195,0.17401087,0.15117587,0.15658017
95,96,1650,1650,0.023960073,0.017515909,0.17310922,0.17738377,0.14914913,0.15986785
96,97,1650,1650,0.020308858,0.017930785,0.17271858,0.18067348,0.15240973,0.16274269
97,98,1650,1650,0.023527525,0.017639883,0.16927932,0.17388104,0.14575179,0.15624115
98,99,1650,1650,0.023254158,0.017466504,0.17162164,0.17762664,0.14836748,0.16016014
99,100,1650,1650,0.023194335,0.0189315,0.16788071,0.17945,0.14468637,0.16051851
100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
102,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
103,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
107,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
108,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
109,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
110,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
111,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
112,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
113,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
114,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
115,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
116,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
118,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
120,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
121,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
123,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
124,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
126,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
127,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
128,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
130,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
131,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
132,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
133,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
134,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
135,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
136,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
137,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
138,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
139,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
140,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
141,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
142,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
144,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
145,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
146,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
147,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
148,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
149,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
151,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
153,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
154,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
155,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
156,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
157,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
158,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
159,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
160,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
162,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
163,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
164,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
165,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
166,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
167,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
168,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
169,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
171,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
172,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
173,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
174,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
175,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
176,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
177,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
178,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
179,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
180,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
181,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
182,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
183,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
184,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
185,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
186,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
187,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
188,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
189,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
190,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
191,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
192,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
193,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
194,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
195,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
196,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
197,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
198,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
199,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
200,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
201,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
202,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
203,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
204,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
205,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
206,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
207,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
208,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
209,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
210,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
211,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
212,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
213,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
214,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
215,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
216,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
217,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
218,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
219,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
220,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
221,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
222,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
223,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
224,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
225,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
226,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
227,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
228,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
229,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
230,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
231,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
232,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
233,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
234,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
235,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
236,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
237,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
238,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
239,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
240,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
241,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
242,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
243,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
244,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
245,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
246,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
247,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
248,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
250,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
251,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
252,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
253,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
254,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
255,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
256,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
257,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
258,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
259,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
260,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
261,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
262,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
264,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
265,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
266,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
267,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
268,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
269,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
270,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
272,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
273,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
274,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
275,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
276,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
277,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
278,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
279,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
280,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
281,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
282,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
283,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
284,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
285,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
286,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
287,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
288,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
289,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
290,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
291,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
292,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
293,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
294,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
295,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
296,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
297,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
298,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
299,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
301,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
302,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
303,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
304,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
305,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
306,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
307,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
308,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
309,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
310,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
311,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
312,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
313,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
314,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
315,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
316,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
317,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
318,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
319,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
320,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
321,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
322,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
323,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
324,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
325,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
326,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
327,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
329,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
330,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
331,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
332,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
334,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
335,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
336,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
337,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
338,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
339,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
340,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
341,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
342,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
343,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
344,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
345,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
346,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
347,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
348,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
349,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
350,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
351,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
352,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
353,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
354,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
356,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
357,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
358,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
359,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
360,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
361,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
362,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
363,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
364,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
365,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
366,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
367,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
368,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
369,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
370,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
371,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
372,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
373,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
376,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
377,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
378,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
379,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
380,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
381,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
382,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
383,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
384,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
385,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
386,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
387,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
388,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
389,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
