,epochs,test_losses,train_losses
0,0,0.018147295340895653,0.025442786514759064
1,1,0.01378229446709156,0.019270800054073334
2,2,0.010556651279330254,0.014691989868879318
3,3,0.007589121349155903,0.011273512616753578
4,4,0.004901341162621975,0.008144509047269821
5,5,0.00281650316901505,0.0053146299906075
6,6,0.0013599063968285918,0.003112195525318384
7,7,0.0008087613969109952,0.0015694200992584229
8,8,0.0009423929732292891,0.0009674003813415766
9,9,0.0013310674112290144,0.0010872840648517013
10,10,0.0014889449812471867,0.0014859539223834872
11,11,0.0013746734475716949,0.0016581312520429492
12,12,0.0011766646057367325,0.0015530646778643131
13,13,0.0010727723129093647,0.0013581381645053625
14,14,0.0011168622877448797,0.0012540328316390514
15,15,0.0012478677090257406,0.0012974063865840435
16,16,0.0013633172493427992,0.0014283997006714344
17,17,0.0013864357024431229,0.001544575672596693
18,18,0.0012932356912642717,0.0015684947138652205
19,19,0.0011065591825172305,0.0014755608281120658
