,epochs,test_losses,train_losses
0,0,0.009370658546686172,0.020056625828146935
1,1,0.006996037904173136,0.014107102528214455
2,2,0.00439355056732893,0.010132432915270329
3,3,0.002211342565715313,0.006111815571784973
4,4,0.0008227908983826637,0.002908401656895876
5,5,0.0004928870475850999,0.0009723283583298326
6,6,0.000986413680948317,0.0005844972329214215
7,7,0.0015140993054956198,0.0013246117159724236
8,8,0.001687446841970086,0.0020427152048796415
9,9,0.001607325510121882,0.0022102161310613155
10,10,0.001421977998688817,0.0019935364834964275
11,11,0.0012118460144847631,0.0016434590797871351
12,12,0.001010252395644784,0.001312120584771037
13,13,0.0008285033982247114,0.0010609881719574332
14,14,0.0006653102464042604,0.000894444587174803
15,15,0.0005180614534765482,0.0007849463727325201
16,16,0.00039139180444180965,0.000699868134688586
17,17,0.00029773739515803754,0.000620845181401819
18,18,0.000251489836955443,0.0005486439331434667
19,19,0.00026006423286162317,0.0004970448790118098
