,epochs,test_losses,train_losses
0,0,0.015586244873702526,0.02314186282455921
1,1,0.015468587167561054,0.022830452769994736
2,2,0.015040869824588299,0.02259579487144947
3,3,0.014993907883763313,0.022041024640202522
4,4,0.015026365406811237,0.022127538919448853
5,5,0.014999073930084705,0.022234870120882988
6,6,0.015023552812635899,0.02212066575884819
7,7,0.015147442929446697,0.02200881950557232
8,8,0.015251758508384228,0.02204211615025997
9,9,0.015226843766868114,0.022115930914878845
10,10,0.015122796408832073,0.022094639018177986
11,11,0.015029637143015862,0.022023554891347885
12,12,0.014985844492912292,0.02199179120361805
13,13,0.01497447956353426,0.022015782073140144
14,14,0.014970449730753899,0.022045860067009926
15,15,0.014975502155721188,0.022040531039237976
16,16,0.015001329593360424,0.02200830914080143
17,17,0.015045260079205036,0.02198510617017746
18,18,0.015071403235197067,0.021990573033690453
19,19,0.01505967415869236,0.022003956139087677
