,epochs,test_losses,train_losses
0,0,5.884468191652559e-05,0.0003122657653875649
1,1,2.0716083781735506e-06,5.884468191652559e-05
2,2,6.37697521597147e-05,2.0716083781735506e-06
3,3,0.0001148654700955376,6.37697521597147e-05
4,4,0.00010566633136477321,0.0001148654700955376
5,5,6.142233178252354e-05,0.00010566633136477321
6,6,1.861967393779196e-05,6.142233178252354e-05
7,7,2.117023285563846e-07,1.861967393779196e-05
8,8,9.269447218684945e-06,2.117023285563846e-07
9,9,3.1488045351579785e-05,9.269447218684945e-06
10,10,4.748999708681367e-05,3.1488045351579785e-05
11,11,4.6913915866753086e-05,4.748999708681367e-05
12,12,3.2382540666731074e-05,4.6913919504731894e-05
13,13,1.4017924513609614e-05,3.2382540666731074e-05
14,14,1.94040308088006e-06,1.4017924513609614e-05
15,15,9.237167546416458e-07,1.94040308088006e-06
16,16,8.637542123324238e-06,9.237168114850647e-07
17,17,1.8018316040979698e-05,8.637542123324238e-06
18,18,2.231721555290278e-05,1.8018316040979698e-05
19,19,1.9196220819139853e-05,2.231721555290278e-05
