,epochs,test_losses,train_losses
0,0,0.014971018768846989,0.024505579844117165
1,1,0.011457100510597229,0.01860935427248478
2,2,0.008518923074007034,0.014153423719108105
3,3,0.0057298787869513035,0.010494977235794067
4,4,0.0033926682081073523,0.007126329932361841
5,5,0.0016052263090386987,0.004300173372030258
6,6,0.0004948168061673641,0.0021133534610271454
7,7,0.0002443260164000094,0.0007231993949972093
8,8,0.0007487258990295231,0.00033576576970517635
9,9,0.0015590842813253403,0.0008527032914571464
10,10,0.0021022299770265818,0.0017578447004780173
11,11,0.0021435755770653486,0.0023797631729394197
12,12,0.0017731133848428726,0.0024367712903767824
13,13,0.0012481695739552379,0.002014324301853776
14,14,0.0007890369743108749,0.0014053588965907693
15,15,0.000500078487675637,0.0008872272446751595
16,16,0.00039383574039675295,0.0005778060876764357
17,17,0.00042619576561264694,0.0004833214625250548
18,18,0.0005368908168748021,0.0005417788052000105
19,19,0.0006700312369503081,0.0006762139964848757
