,epochs,test_losses,train_losses
0,0,0.01128474436700344,0.024266870692372322
1,1,0.008362580090761185,0.016725456342101097
2,2,0.005872873589396477,0.011804102919995785
3,3,0.0037628766149282455,0.007654257584363222
4,4,0.002378437900915742,0.004413657356053591
5,5,0.002006908878684044,0.002508394652977586
6,6,0.002134304028004408,0.002209216123446822
7,7,0.001957070780918002,0.0026801819913089275
8,8,0.001438701176084578,0.0026661918964236975
9,9,0.0008221343159675598,0.0020529585890471935
10,10,0.0004561024543363601,0.0012154894648119807
11,11,0.0004982815589755774,0.0006503986660391092
12,12,0.0008594568353146315,0.0006028875359334052
13,13,0.0012631952995434403,0.000987534993328154
14,14,0.0014801903162151575,0.00145859329495579
15,15,0.0014483253471553326,0.0017158596310764551
16,16,0.0012287871213629842,0.001673017512075603
17,17,0.0009358198149129748,0.0014054500497877598
18,18,0.0006794185028411448,0.0010587878059595823
19,19,0.0005264646606519818,0.000772508792579174
